,Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long,Empty_Seats,Available_Seat_Miles,Revenue_Passenger_Mile,Missed_Revenue_Miles,Avg_Seats_per_Flight
14471,HNL,ITO,"Honolulu, HI","Hilo, HI",31021,35814,282,216,2005-06,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,4793,7735824,6700536,1035288,127.0
14478,HNL,ITO,"Honolulu, HI","Hilo, HI",24071,32639,257,216,2005-12,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,8568,7050024,5199336,1850688,127.0
14485,HNL,ITO,"Honolulu, HI","Hilo, HI",19819,28956,228,216,2005-11,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,9137,6254496,4280904,1973592,127.0
14494,HNL,ITO,"Honolulu, HI","Hilo, HI",30209,35687,281,216,2005-03,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,5478,7708392,6525144,1183248,127.0
14508,HNL,ITO,"Honolulu, HI","Hilo, HI",28433,36957,291,216,2005-08,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,8524,7982712,6141528,1841184,127.0
14510,HNL,ITO,"Honolulu, HI","Hilo, HI",25453,30258,246,216,2005-12,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,4805,6535728,5497848,1037880,123.0
14512,HNL,ITO,"Honolulu, HI","Hilo, HI",22936,29151,237,216,2005-11,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,6215,6296616,4954176,1342440,123.0
14514,HNL,ITO,"Honolulu, HI","Hilo, HI",23393,34544,272,216,2005-10,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,11151,7461504,5052888,2408616,127.0
14518,HNL,ITO,"Honolulu, HI","Hilo, HI",21281,29889,243,216,2005-10,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,8608,6456024,4596696,1859328,123.0
14519,HNL,ITO,"Honolulu, HI","Hilo, HI",19503,29151,237,216,2005-09,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,9648,6296616,4212648,2083968,123.0
14522,HNL,ITO,"Honolulu, HI","Hilo, HI",28608,35687,281,216,2005-05,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,7079,7708392,6179328,1529064,127.0
14523,HNL,ITO,"Honolulu, HI","Hilo, HI",21709,30135,245,216,2005-08,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,8426,6509160,4689144,1820016,123.0
14524,HNL,ITO,"Honolulu, HI","Hilo, HI",23414,30135,245,216,2005-07,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,6721,6509160,5057424,1451736,123.0
14525,HNL,ITO,"Honolulu, HI","Hilo, HI",22602,29151,237,216,2005-06,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,6549,6296616,4882032,1414584,123.0
14526,HNL,ITO,"Honolulu, HI","Hilo, HI",21301,30012,244,216,2005-05,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391,8711,6482592,4601016,1881576,123.0
